,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine2,lookup_address,latitude,longitude
68,57620,129386,Tesco,Retailers - supermarkets/hypermarkets,7840,,369-383 Lisburn Road,Belfast,BT9 7EP,5,fhrs_5_en-GB,2021-11-12,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"369-383 Lisburn Road, Belfast",54.5802161,-5.950013102516779
69,842387,130005,Tesco,Retailers - supermarkets/hypermarkets,7840,,1-5 Belmont Road,Belfast,BT4 2AA,5,fhrs_5_en-GB,2023-04-25,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"1-5 Belmont Road, Belfast",54.600531950000004,-5.87837187644506
70,727904,208283,Tesco,Retailers - supermarkets/hypermarkets,7840,,91 Royal Avenue,Belfast,BT1 1FE,5,fhrs_5_en-GB,2017-11-02,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"91 Royal Avenue, Belfast",54.6018258,-5.9311508
71,572369,196056,Tesco,Retailers - supermarkets/hypermarkets,7840,,307-317 Ormeau Road,Belfast,BT7 3GG,5,fhrs_5_en-GB,2019-03-01,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"307-317 Ormeau Road, Belfast",54.5719958,-5.9145559
72,56994,128853,Tesco,Retailers - supermarkets/hypermarkets,7840,,407 Antrim Road,Belfast,BT15 3BG,5,fhrs_5_en-GB,2019-03-26,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"407 Antrim Road, Belfast",54.62044265,-5.9374806499999995
73,74674,172624,Tesco,Retailers - supermarkets/hypermarkets,7840,,20 Great Victoria Street,Belfast,BT2 7BA,5,fhrs_5_en-GB,2020-01-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"20 Great Victoria Street, Belfast",54.5952071,-5.9342258
74,58129,129834,Tesco,Retailers - supermarkets/hypermarkets,7840,Cityside Retail Park,100-150 York Street,Belfast,BT15 1WA,5,fhrs_5_en-GB,2023-08-30,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"100-150 York Street, Belfast",54.6087286,-5.9269838
75,58664,130102,Tesco,Retailers - supermarkets/hypermarkets,7840,Tesco 24hr Store,2 Knocknagoney Road,Belfast,BT4 2PW,5,fhrs_5_en-GB,2023-12-05,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"2 Knocknagoney Road, Belfast",54.6216669,-5.857236016493159
76,950178,238611,Tesco Express,Retailers - supermarkets/hypermarkets,7840,,32-36 University Road,Belfast,BT7 1NH,5,fhrs_5_en-GB,2023-03-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"32-36 University Road, Belfast",54.5865874,-5.9356841
77,1423368,261579,Tesco Express,Retailers - supermarkets/hypermarkets,7840,,11-13 Donegall Place,Belfast,BT1 5AA,5,fhrs_5_en-GB,2022-01-04,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"11-13 Donegall Place, Belfast",54.5982212,-5.9303012
